@relation pose

@attribute name {question,vsign,arm,standing,beer,sushi}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
standing,9472,6939,11262,10974,10861
standing,9472,7051,11059,11291,10833
standing,9496,7146,11174,11174,10666
standing,9472,7127,10945,11203,10721
standing,9496,7357,10945,11174,10502
standing,9670,7299,10749,11059,10611
standing,9645,7435,10889,10945,10421
standing,9521,7435,10945,11002,10448
standing,9820,7494,10721,11031,10475
standing,9695,7494,10945,10889,10394
standing,9820,7415,10917,10777,10475
standing,9871,7299,10889,10833,10584
standing,9871,7318,10777,10917,10448
standing,9948,7415,10945,11088,10721
standing,9974,7146,10805,10833,10777
standing,9846,7108,10749,10721,10721
standing,9720,6995,10833,11031,11203
standing,9645,6976,10889,11002,10861
standing,9546,6958,11031,10917,10917
standing,9570,6847,10974,10861,10805
standing,9521,6866,10889,10861,10974
standing,9595,7014,10861,10529,10777
standing,9645,7146,10974,11002,10917
standing,9670,7415,10777,10666,10777
standing,9897,7337,10584,10889,10611
standing,10077,7514,10721,10666,10502
standing,10025,7553,10777,10917,10557
standing,10156,7573,10639,10749,10557
standing,10156,7633,10721,11002,10421
standing,10182,7593,10584,10777,10394
standing,10234,7613,10611,10721,10314
standing,10234,7613,10611,10974,10394
standing,10103,7573,10584,10694,10367
standing,10182,7533,10584,10721,10314
standing,10129,7514,10639,10721,10341
standing,10103,7514,10639,10749,10448
standing,10077,7435,10639,10666,10394
standing,10077,7396,10721,10721,10529
standing,10025,7357,10666,10666,10584
standing,9948,7260,10666,10721,10805
standing,9922,7184,10721,10666,10777
standing,9922,7051,10777,10721,10833
standing,9897,7014,10749,10666,10889
standing,9846,6976,10721,10611,10833
standing,9897,6976,10805,10611,10889
standing,9795,7127,10889,11002,10749
standing,9871,7241,10721,10889,10584
standing,9897,7241,10861,10861,10805
standing,9871,7279,10777,10833,10777
standing,9922,7415,10805,10749,10749
standing,10077,7241,10889,10889,10777
standing,10261,7396,10777,10777,10805
standing,10261,7337,10917,10749,10666
standing,10394,7260,10917,10721,10805
standing,10367,7318,11059,10666,10889
standing,10529,7435,11031,10639,10557
standing,10666,7396,10917,10694,10584
standing,10666,7415,10945,10861,10557
standing,10557,7357,10861,10777,10749
standing,10475,7279,10861,10639,10611
standing,10448,7279,10945,10721,10639
standing,10502,7357,10945,10917,10805
standing,10529,7357,10777,10833,10584
standing,10394,7337,10945,10945,10639
standing,10448,7279,10861,10611,10777
standing,10448,7222,10974,10694,10666
standing,10502,7279,10805,10721,10694
standing,10529,7299,10694,10805,10639
standing,10475,7260,10666,10777,10611
standing,10261,7357,10721,10694,10833
standing,10261,7396,10584,10749,10721
standing,10421,7241,10584,10805,10666
standing,10234,7318,10833,10529,10805
standing,10341,7279,10611,10666,10721
standing,10367,7318,10749,10721,10749
standing,10394,7318,10666,10666,10639
standing,10475,7222,10666,10889,10777
standing,10448,7222,10833,10639,10694
standing,10341,7376,10639,10721,10611
standing,10341,7279,10777,10805,10805
standing,10287,7299,10805,10721,10611
standing,10208,7203,10721,10721,10721
standing,10234,7203,10917,10889,10557
standing,10103,7203,10917,11031,10529
standing,10077,7299,11059,10805,10639
standing,9871,7108,11088,10861,10721
standing,9745,7089,11002,10889,10639
standing,9695,7146,11117,10917,10639
standing,9570,7070,11059,11002,10611
standing,9645,7070,11174,10833,10611
standing,9447,7070,11031,10974,10611
standing,9546,7032,11145,10694,10557
standing,9496,7165,11117,10749,10639
standing,9399,7146,11002,10889,10611
standing,9546,7051,11174,10777,10611
standing,9375,7032,11031,11059,10666
standing,9399,7051,11203,10749,10666
standing,9399,7032,11088,10805,10394
standing,9399,7146,11002,10694,10721
standing,9546,7070,11145,10861,10394
standing,9720,7032,11002,10805,10502
standing,9795,7051,10889,10777,10611
standing,9871,7051,11031,10777,10448
standing,9948,7127,11002,10611,10421
standing,10129,7241,10917,10666,10421
standing,10261,7184,10917,10694,10448
standing,10261,7357,10861,10421,10475
standing,10261,7279,10833,10341,10448
standing,10182,7415,10889,10557,10475
standing,10234,7376,10974,10475,10394
standing,10234,7474,10861,10314,10611
standing,10261,7474,10805,10502,10394
standing,10182,7533,10917,10475,10529
standing,10234,7514,10889,10421,10448
standing,10208,7454,10974,10475,10694
standing,10234,7613,11002,10475,10721
standing,10314,7533,11002,10611,10639
standing,10261,7494,10861,10639,10529
standing,10156,7613,10945,10421,10611
standing,10182,7533,10889,10584,10421
standing,10208,7553,10833,10584,10502
standing,10261,7474,11002,10557,10529
standing,10261,7494,10833,10367,10557
standing,10314,7533,10777,10475,10721
standing,10129,7514,11002,10421,10394
standing,10103,7553,10974,10421,10557
standing,10182,7494,11145,10611,10529
standing,10208,7613,11117,10448,10421
standing,10182,7553,11088,10694,10529
standing,10103,7514,11002,10749,10694
standing,9871,7494,10945,10611,10529
standing,9795,7318,11117,10611,10584
standing,9695,7337,11174,10861,10611
standing,9620,7337,11174,10639,10502
standing,9595,7146,11088,11203,10557
standing,9570,7108,11174,10917,10584
standing,9447,7032,11291,10917,10666
standing,9521,7070,11088,10749,10584
standing,9546,7222,11088,10974,10861
standing,9570,7089,11232,10974,10861
standing,9670,7184,11088,10889,10805
standing,9695,7051,11174,11117,10611
standing,9720,7222,11232,10777,10917
standing,9695,7089,11117,10974,10777
standing,9720,7089,11232,10974,10694
standing,9670,7165,11145,11002,10777
standing,9645,7108,11232,11088,10584
standing,9770,7127,11117,10945,10666
standing,9846,7108,10889,10889,10833
