@relation pose

@attribute name {question,vsign,arm,standing,beer,sushi}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
vsign,10694,9720,12017,12627,13592
vsign,10889,9546,11954,13308,13520
vsign,10694,9447,12463,12962,13065
vsign,10557,9595,12238,12463,13449
vsign,10805,9620,12270,12627,13203
vsign,10666,9399,11985,12627,12827
vsign,10777,9620,12366,12627,13343
vsign,10529,9645,12794,13413,13449
vsign,10694,9620,12561,13203,13168
vsign,10917,9720,12594,13413,13520
vsign,10777,9521,12496,12594,13031
vsign,10557,9846,12079,12627,13520
vsign,10945,9670,12079,12496,12861
vsign,10861,9670,11954,13031,13273
vsign,10945,9720,12463,13203,13556
vsign,10777,9897,11892,13099,13700
vsign,10945,9645,11985,13168,12997
vsign,11088,9820,12079,12496,13273
vsign,10694,9770,12529,12794,13308
vsign,10584,9521,12017,12463,13343
vsign,10611,9546,11923,12463,12962
vsign,11059,9795,11830,12760,13736
vsign,10974,9922,12398,12794,13378
vsign,10861,9974,12079,12693,13520
vsign,10974,9922,12174,13484,13592
vsign,11088,9820,12111,13413,13343
vsign,10749,10077,12270,12727,13520
vsign,10777,9974,12398,12962,13238
vsign,10721,10103,12111,12997,13065
vsign,11031,10234,12398,12794,13168
vsign,11002,9846,12627,12627,13484
vsign,10833,10156,12048,13065,13520
vsign,10666,10129,12142,13099,13449
vsign,10889,10156,12398,12827,13238
vsign,10557,9795,11923,12627,13168
vsign,10917,10051,11985,12727,13378
vsign,10584,9795,11923,12463,13031
vsign,11031,9846,12496,13308,13203
vsign,10611,10077,12048,13031,13484
vsign,10584,10182,12142,12463,13628
vsign,10694,9922,12398,12827,13556
vsign,10584,9820,12048,12496,12997
vsign,10889,9871,12334,12962,13134
vsign,11002,9897,11923,13308,13343
vsign,10584,9720,12463,12861,12962
vsign,10917,10051,12017,12561,13773
vsign,10557,10025,12594,12431,13168
vsign,10666,9974,12048,13065,13449
vsign,10805,10000,12270,12794,12997
vsign,10529,9670,11861,12366,12895
vsign,10889,10077,12627,13273,13736
vsign,10611,9897,12366,12895,13343
vsign,10833,9670,12366,13238,13134
vsign,10584,9897,12660,13099,13065
vsign,10833,9795,12594,13308,13628
vsign,10666,9922,12334,12463,13168
vsign,10917,9897,12079,12997,13238
vsign,10584,9846,12334,12496,13736
vsign,10861,9846,12561,13308,13773
vsign,10694,9620,12302,12861,13238
vsign,10611,9820,12302,12693,13449
vsign,10889,9871,12366,12727,13308
vsign,10694,9820,12398,12693,13449
vsign,10721,9770,12302,12760,13378
vsign,10861,9820,12238,12861,13308
vsign,10749,9595,12693,12529,13168
vsign,10666,9897,11985,13099,13099
vsign,10805,9645,12079,13099,13134
