@relation pose

@attribute name {question,exclamation,arm,anxious,vsign,tengu,standing}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
vsign,10051,6062,9645,11739,9820
vsign,9974,6078,9770,11678,9770
vsign,10182,6095,9770,11497,9948
vsign,10077,5946,9795,11497,9897
vsign,10103,6095,9846,11617,9871
vsign,10129,6095,9770,11468,9922
vsign,10129,6062,9770,11739,9948
vsign,10077,6062,9795,11617,9897
vsign,10051,6095,9871,11557,9846
vsign,10077,6078,9846,11587,9897
vsign,10156,6112,9820,11587,9948
vsign,10129,6095,9720,11557,9897
vsign,10051,6045,9770,11617,9820
vsign,10051,6045,9795,11088,9948
vsign,10103,6162,9745,11617,10000
vsign,10129,6129,9695,11739,9897
vsign,10025,6129,9745,11617,9820
vsign,10103,6145,9645,11587,9897
vsign,10129,6145,9645,11587,9846
vsign,10051,6129,9795,11708,9820
vsign,10077,6129,9820,11678,9795
vsign,10025,6145,9595,11557,9846
vsign,10000,6145,9620,11648,9871
vsign,10025,6145,9695,11617,9846
vsign,10077,6129,9670,11557,9897
vsign,10000,6162,9595,11678,9948
vsign,10000,6145,9620,11648,9922
vsign,10025,6145,9620,11617,9871
vsign,10000,6179,9745,11617,9795
vsign,9974,6129,9770,11587,9795
vsign,10129,6112,9820,11497,9820
vsign,10129,6129,9695,11497,9846
vsign,10182,6112,9745,11497,9846
vsign,10077,6129,9820,11468,9820
vsign,10129,6112,9670,11468,9846
vsign,10025,6145,9770,11497,9770
vsign,10129,6129,9695,11557,9897
vsign,10025,6162,9770,11527,9795
vsign,10129,6129,9570,11648,9897
vsign,10000,6129,9720,11527,9846
vsign,10077,6162,9546,11739,9922
vsign,10077,6162,9570,11648,9871
vsign,10077,6145,9570,11739,9695
vsign,10051,6162,9620,11617,9846
vsign,10077,6179,9159,11648,9871
vsign,10103,6179,9620,11617,10000
vsign,10156,6129,9846,11708,9897
vsign,10103,6112,9846,11678,9846
vsign,10156,6145,9795,11648,9897
vsign,10103,6145,9897,11557,9871
vsign,10182,6129,9820,11617,9897
vsign,10182,6145,9770,11438,9846
vsign,10103,6095,9795,11587,9846
vsign,10261,6129,9695,11527,9897
vsign,10129,6062,9820,11708,9871
vsign,10234,6078,9670,11617,9948
vsign,10103,6095,9770,11497,9897
vsign,10077,6062,9770,11648,9897
vsign,10156,6078,9770,11648,9922
vsign,10051,6095,9846,11557,9820
vsign,10051,6095,9820,11617,9795
vsign,10156,6112,9820,11497,9871
vsign,10129,6095,9770,11527,9922
vsign,10182,6095,9745,11587,9871
vsign,10182,6062,9720,11648,9922
vsign,10129,6112,9695,11527,9871
